player ID, trial, timestamp, x, y, z, rotx, roty, rotz
,1,0.0063424,-39.9,1.08,-58.9,-0.005485437,-0.5932379,-0.004042455
,1,0.0223126,-42.49334,1.08,-56.70682,-0.09760852,-0.6877847,-0.09413866
,1,0.030253,-43.78713,1.08,-54.62191,-0.09076237,-0.6897953,-0.0878203
,1,0.0384094,-38.50517,1.08,-54.78093,-0.1135807,-0.6876498,-0.1102255
,1,0.0484358,-41.716,1.08,-54.69783,-0.1440196,-0.7778811,-0.1930102
player ID, trial, timestamp, x, y, z, rotx, roty, rotz
,1,0.0084626,-39.9,1.08,-58.9,-0.006576259,-0.4876066,-0.003672982
,1,0.0205023,-43.94337,1.08,-59.03202,-0.05588249,-0.3279926,-0.01944054
player ID, trial, timestamp, x, y, z, rotx, roty, rotz
,1,0.0068432,-42.32462,1.08,-57.94884,0.03163804,0.5629704,0.02157402
,1,0.0143968,-43.65557,1.08,-57.35642,0.1037839,0.5700003,0.07287123
,1,0.0227079,-42.20915,1.08,-57.87862,0.1037839,0.5700003,0.07287123
,1,0.0344895,-42.09238,1.08,-58.08125,0.08947952,0.5776393,0.06390148
,1,0.0581051,-49.98257,1.08,-63.90879,-0.1330234,-0.5774083,0.09603491
,1,0.0658583,-41.19469,1.08,-48.75809,0.03267012,0.9048675,0.07063509
,1,0.0740028,-46.37741,1.08,-43.75066,0.01662127,0.9730889,0.07437581
,1,0.0816185,-42.06854,1.08,-56.12924,0.05376929,0.7394505,0.05948326
player ID, trial, timestamp, x, y, z, rotx, roty, rotz
,1,0.0114738,-40.71573,1.08,-58.68665,-0.02327258,-0.6094521,-0.01790218
,1,0.0285621,-40.55519,1.08,-56.91434,-0.03787833,-0.6870379,-0.03590761
,1,0.0374997,-43.11,1.08,-47.45236,0.04084396,-0.4216557,0.01901656
,1,0.0463265,-41.49714,1.08,-44.00335,0.01534729,-0.9103333,0.03389411
,1,0.0547387,-40.61604,1.08,-55.15017,0.00189215,-0.7138916,0.001929008
,1,0.0618777,-41.90124,1.08,-55.14487,-0.07847082,-0.8360227,-0.1240872
player ID, trial, timestamp, x, y, z, rotx, roty, rotz
,1,0.0232049,-42.15855,1.08,-58.49386,-0.08771884,-0.6214322,-0.07030442
,1,0.0314147,-44.27179,1.08,-56.32757,-0.1551127,-0.6172036,-0.1257972
,1,0.06824081,-44.05426,1.08,-56.54005,-0.08329888,-0.6650078,-0.07502206
,1,0.0852147,-44.83268,1.08,-54.85575,0.0688367,-0.8714893,-0.1280859
player ID, trial, timestamp, x, y, z, rotx, roty, rotz
,1,0.0092909,-42.93949,1.08,-54.15827,0.06720966,0.6450633,0.05711892
,1,0.02088,-43.64898,1.08,-34.42696,-0.02117812,0.05731359,-0.001216067
,1,0.0319622,-40.28661,1.08,-12.63118,-0.03191184,0.378491,-0.0130582
,1,0.0403837,-42.54695,1.08,-1.659842,-0.03485307,0.5294338,-0.02177646
,1,0.0467403,-51.27821,1.08,-1.070769,-0.03268897,0.5487322,-0.0214799
,1,0.0627319,-50.37114,1.08,-0.5944359,-0.03198709,-0.115459,0.003720017
,1,0.0810695,-45.07473,1.08,18.46804,0.02757161,-0.5601603,-0.01865922
,1,0.0977428,-45.5574,1.08,30.63137,0.02008539,-0.04907227,-0.0009870243
,1,0.1132636,-22.2863,1.08,28.06835,-0.005205935,-0.9502584,0.01590605
,1,0.1251065,-12.61653,1.08,5.506835,-0.002523327,-0.9954768,0.02764673
,1,0.1479004,-12.20653,1.08,-9.495639,0.0007498196,-0.8831999,-0.001412045
,1,0.1706763,-16.40458,1.08,7.215249,-0.01319021,-0.5388198,0.008438032
,1,0.1837717,-13.73961,1.08,3.021129,-0.006245037,-0.9522761,-0.01952726
,1,0.1952033,-17.48648,1.08,-14.91454,0.004893432,-0.973918,0.02110026
,1,0.2069882,-22.76922,1.08,-31.22195,-0.004795475,-0.7850425,-0.006077965
,1,0.2185092,-16.84426,1.08,-44.8998,-0.007589315,-0.7732294,0.009255766
,1,0.2280269,-7.359593,1.08,-57.21164,0.220851,-0.6919603,-0.2368466
player ID, trial, timestamp, x, y, z, rotx, roty, rotz
,1,0.0142129,-43.09674,1.08,-56.15785,-0.2184055,0.6630278,0.2117049
player ID, trial, timestamp, x, y, z, rotx, roty, rotz
,1,0.0087071,-39.9,1.08,-58.9,-0.007941468,-0.2658374,-0.002190017
,1,0.018841,-41.31111,1.08,-59.19864,-0.02860489,-0.09749455,-0.00280334
,1,0.02838,-45.70563,1.08,-56.60647,-0.03585486,-0.3450968,-0.01319422
,1,0.0385601,-45.10122,1.08,-41.49918,-0.002656955,-0.06512617,-0.000173406
,1,0.0492224,-46.02801,1.08,-26.5979,-0.02927627,0.3124242,0.009633668
,1,0.0577594,-44.65727,1.08,-12.96401,-0.01234727,-0.2113997,-0.002670788
,1,0.0672403,-41.09327,1.08,2.001674,-0.04062095,-0.4787573,-0.02218203
,1,0.0850319,-43.4179,1.08,18.11213,0.04568866,0.5875349,-0.03325434
,1,0.0923088,-46.86002,1.08,31.59009,0.05285543,-0.1400002,0.007484256
,1,0.1017365,-47.25019,1.08,42.10722,0.06006805,-0.01207476,0.0007266726
,1,0.1107343,-47.58768,1.08,62.59066,-0.02491771,0.2729132,0.007071273
,1,0.117847,-44.86341,1.08,69.49447,0.03378465,0.441392,-0.01663344
,1,0.1249646,-37.4851,1.08,69.48598,0.02847571,0.298395,-0.008906943
,1,0.1302815,-31.28196,1.08,69.48557,0.01139771,-0.01844229,0.0002102493
,1,0.138546,-26.9957,1.08,69.46224,0.002094355,0.5130879,-0.001251949
,1,0.1463911,-24.20455,1.08,69.46583,0.09646342,0.4471411,-0.04857735
,1,0.1526409,-24.20455,1.08,69.46583,0.09649751,0.4465175,-0.04850962
,1,0.1595912,-24.20455,1.08,69.46583,0.09649751,0.4465175,-0.04850962
,1,0.1656088,-24.20455,1.08,69.46583,0.09486169,0.4384028,-0.04659452
,1,0.1728592,-23.71485,1.08,69.4651,-0.005151449,0.5248342,0.003176352
,1,0.1813595,-17.59815,1.08,69.47003,0.08930242,0.2312897,-0.02132557
,1,0.1883316,-15.66571,1.08,69.42091,0.03749887,0.4210795,-0.01742671
,1,0.1963255,-3.243224,1.08,69.48854,0.01412144,0.7068281,-0.01411594
,1,0.2041519,5.957028,1.08,69.49918,-0.1160188,-0.2117828,-0.02532873
player ID, trial, timestamp, x, y, z, rotx, roty, rotz
,1,0.0097839,-42.58193,1.08,-57.23115,0.028509,-0.8757098,0.05210165
,1,0.0231281,-51.6068,1.08,-61.98273,0.02271106,-0.9011533,0.04756422
,1,0.036969,-46.1572,1.08,-57.96569,0.06388634,0.3207283,-0.0216881
,1,0.0476748,-44.56432,1.08,-54.77246,0.1040654,0.5218658,-0.06433032
,1,0.0550097,-44.56432,1.08,-54.77246,0.06659922,0.6832524,-0.06281445
